ポケモン川柳,登場ポケモン,出典,登場作品,チェック
バクフーン はながムズムズ ヴァックフ～ン,バクフーン,オーキド博士のポケモン講座,AG078,
ワタッコの しろいわたげで みみそうじ,ワタッコ,オーキド博士のポケモン講座,AG079,
セレビィが せいざしてあし しびれびぃ,セレビィ,オーキド博士のポケモン講座,AG081,
ライコウの でんげきくらって えライコゥちゃ,ライコウ,オーキド博士のポケモン講座,AG082,
レディバなら レディとサンバ おどってる,レディバ,オーキド博士のポケモン講座,AG083,
さむがりの モココのくびは もっこもこ,モココ,オーキド博士のポケモン講座,AG089,
あつくても うみにははいれぬ マグマッグ,マグマッグ,オーキド博士のポケモン講座,AG090,
しんかかも アチャモが ワカシャモ すごいかも,アチャモ,オーキド博士のポケモン講座,AG091,
アメタマが ちいさいおててで かおあらい,アメタマ,オーキド博士のポケモン講座,AG092,
キノココが ひるねをしている きのねっこ,キノココ,オーキド博士のポケモン講座,AG094,
キバニアの つくったレバニラ おいしいな,キバニア,オーキド博士のポケモン講座,AG095,
エネコたち いやしのすずで えんそうかい,エネコ,オーキド博士のポケモン講座,AG096,
みーつけた ギザギザもよう カクレオン,カクレオン,オーキド博士のポケモン講座,AG097,
キャーキャーと もめにもめてる キャモメたち,キャモメ,オーキド博士のポケモン講座,AG099,
グラエナが とおぼえしてる こえーなあ,グラエナ,オーキド博士のポケモン講座,AG100,
キモリはね ほんとはテレや なのキャモね,キモリ,オーキド博士のポケモン講座,AG101,
ケッキング ずっとねていて ねちがえた,ケッキング,オーキド博士のポケモン講座,AG102,
ケムッソが たきびにあたって けむそうだ,ケムッソ,オーキド博士のポケモン講座,AG103,
コータスの ハナイキすごいぞ まっくろけ,コータス,オーキド博士のポケモン講座,AG104,
だいすきな アナタにはなお アゲハント,アゲハント,オーキド博士のポケモン講座,AG123,
シンオウで たびがはじまる ポケモンと,,オーキド博士のポケモン大百科,DP001,
こまったら ひらいてみよう ポケモンずかん,,オーキド博士のポケモン大百科,DP002,
ゲットだぜ なげかたいろいろ モンスターボール,,オーキド博士のポケモン大百科,DP003,
ジョーイさん あいたくなったら ポケモンセンター,,オーキド博士のポケモン大百科,DP004,
さあ10さい ぼくもわたしも トレーナー,,オーキド博士のポケモン大百科,DP005,
ポケモンと うつくしくあれ コーディネーター,,オーキド博士のポケモン大百科,DP006,
ポケモンに つくしてそだてる ブリーダー,,オーキド博士のポケモン大百科,DP007,True
かてるまで なんどもちょうせん ポケモンジム,,オーキド博士のポケモン大百科,DP008,
ジムリーダー いのちをかけて かかってこい,,オーキド博士のポケモン大百科,DP009,
ポケッチに まだまだふえる アプリかな,,オーキド博士のポケモン大百科,DP010,
ポケモンが かれいにまわるよ コンテスト,,オーキド博士のポケモン大百科,DP011,
ごふんかん みせてしょうぶだ コンテストバトル,,オーキド博士のポケモン大百科,DP012,
パートナー サトシとピカチュウ いいかんじ,ピカチュウ,オーキド博士のポケモン大百科,DP013,
エイパムが しっぽでつかむ サトシのハート,エイパム,オーキド博士のポケモン大百科,DP014,True
ムックルが ムクムクしんか ムクバード,ムクバード,オーキド博士のポケモン大百科,DP015,
ナエトルは あたまにはっぱ はえとるぞ,ナエトル,オーキド博士のポケモン大百科,DP016,
ポッチャマが みずにとびこむ ぽっちゃんと,ポッチャマ,オーキド博士のポケモン大百科,DP017,
ミミロルが みみをまるめて みみロール,ミミロル,オーキド博士のポケモン大百科,DP018,
しんかして もうなかないよ ウソッキー,ウソッキー,オーキド博士のポケモン大百科,DP019,
グレッグル タケシにツッコミ しびれびれ,グレッグル,オーキド博士のポケモン大百科,DP020,
パチリスが おめめさめたよ パッチリす,パチリス,オーキド博士のポケモン大百科,DP021,
ピカチュウに いつかはかちたい ニャースかな,ニャース,オーキド博士のポケモン大百科,DP022,
あかいキバ さわるとアブネー ハブネーク,ハブネーク,オーキド博士のポケモン大百科,DP023,
きがつけば なのりもやってる ソーナンス,ソーナンス,オーキド博士のポケモン大百科,DP024,
サボネアは ふれるとチクチク トゲトゲよ,サボネア,オーキド博士のポケモン大百科,DP025,
かわいいね マネネまねする きみのマネ,マネネ,オーキド博士のポケモン大百科,DP026,
マスキッパ きょうもはらぺこ すきっぱら,マスキッパ,オーキド博士のポケモン大百科,DP027,
